filename,frame_index,frame_start_time_s,processing_time_s,frame_duration_s,rt_factor
tmp.wav,0,0.000000,0.000347,0.010000,0.034710
tmp.wav,1,0.010000,0.000356,0.010000,0.035592
tmp.wav,2,0.020000,0.000362,0.010000,0.036173
tmp.wav,3,0.030000,0.000319,0.010000,0.031893
tmp.wav,4,0.040000,0.000340,0.010000,0.033989
tmp.wav,5,0.050000,0.000349,0.010000,0.034904
tmp.wav,6,0.060000,0.000330,0.010000,0.032965
tmp.wav,7,0.070000,0.000336,0.010000,0.033617
tmp.wav,8,0.080000,0.000289,0.010000,0.028913
tmp.wav,9,0.090000,0.000272,0.010000,0.027217
tmp.wav,10,0.100000,0.000353,0.010000,0.035334
tmp.wav,11,0.110000,0.000338,0.010000,0.033771
tmp.wav,12,0.120000,0.000275,0.010000,0.027549
tmp.wav,13,0.130000,0.000272,0.010000,0.027234
tmp.wav,14,0.140000,0.000303,0.010000,0.030335
tmp.wav,15,0.150000,0.000346,0.010000,0.034552
tmp.wav,16,0.160000,0.000375,0.010000,0.037517
tmp.wav,17,0.170000,0.000337,0.010000,0.033747
tmp.wav,18,0.180000,0.000281,0.010000,0.028097
tmp.wav,19,0.190000,0.000304,0.010000,0.030435
tmp.wav,20,0.200000,0.000321,0.010000,0.032067
tmp.wav,21,0.210000,0.000260,0.010000,0.025952
tmp.wav,22,0.220000,0.000311,0.010000,0.031098
tmp.wav,23,0.230000,0.000262,0.010000,0.026219
tmp.wav,24,0.240000,0.000301,0.010000,0.030053
tmp.wav,25,0.250000,0.000254,0.010000,0.025413
tmp.wav,26,0.260000,0.000348,0.010000,0.034797
tmp.wav,27,0.270000,0.000365,0.010000,0.036517
tmp.wav,28,0.280000,0.000335,0.010000,0.033477
tmp.wav,29,0.290000,0.000313,0.010000,0.031290
tmp.wav,30,0.300000,0.000278,0.010000,0.027790
tmp.wav,31,0.310000,0.000306,0.010000,0.030627
tmp.wav,32,0.320000,0.000274,0.010000,0.027350
tmp.wav,33,0.330000,0.000294,0.010000,0.029365
tmp.wav,34,0.340000,0.000339,0.010000,0.033888
tmp.wav,35,0.350000,0.000373,0.010000,0.037305
tmp.wav,36,0.360000,0.000315,0.010000,0.031495
tmp.wav,37,0.370000,0.000329,0.010000,0.032877
tmp.wav,38,0.380000,0.000322,0.010000,0.032172
tmp.wav,39,0.390000,0.000350,0.010000,0.035028
tmp.wav,40,0.400000,0.000284,0.010000,0.028448
tmp.wav,41,0.410000,0.000295,0.010000,0.029484
tmp.wav,42,0.420000,0.000322,0.010000,0.032218
tmp.wav,43,0.430000,0.000371,0.010000,0.037074
tmp.wav,44,0.440000,0.000343,0.010000,0.034341
tmp.wav,45,0.450000,0.000354,0.010000,0.035384
